country,doc-type,doc-year,doc-code,license,licenseMode,url-html,url-pdf
br,constituicao,1988,1988,inferring-br,implicit,http://www.lexml.gov.br/urn/urn:lex:br:federal:constituicao:1988-10-05;1988,http://www2.camara.leg.br/legin/fed/consti/1988/constituicao-1988-5-outubro-1988-322142-normaatualizada-pl.pdf
br,federal:lei,2004,12965,inferring-br,implicit,http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2014-04-23;12965,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=1&data=24/04/2014
br,federal:lei,2008,11705,inferring-br,implicit,http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2008-06-19;11705,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=1&data=20/06/2008
it,legge,1981,456,inferring-it,implicit,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1981-08-06;456,http://www.gazzettaufficiale.it/eli/id/1981/08/11/081U0456/sg
uk,ukpga,2006,49,OGL,explicit,http://www.legislation.gov.uk/ukpga/2006/49,http://www.legislation.gov.uk/ukpga/2006/49/pdfs/ukpga_20060049_en.pdf
uk,uksi,2015,1510,OGL,explicit,http://www.legislation.gov.uk/id/uksi/2015/1510,http://www.legislation.gov.uk/uksi/2015/1510/pdfs/uksi_20151510_en.pdf
us,constitution,1789,,inferring-us,implicit,http://www.archives.gov/exhibits/charters/constitution_transcript.html,http://www.gpo.gov/fdsys/pkg/GPO-CONAN-1992/pdf/GPO-CONAN-1992-6.pdf
